Battle_Tag,Hero1,Hero2,Hero3,Hero4,Hero5
Morellio-1416,Mercy,Reinhardt,Orisa,Moira,Winston
Ne0x-2676,Genji,Doomfist,Tracer,Hanzo,Zenyatta
Miyuna-21516,Widowmaker,Reinhardt,Pharah,Genji,Hanzo
Hunter18112-1984,Reinhardt,Mercy,Hanzo,Lúcio,Orisa
Zinux-1251,Hanzo,Ana,Torbjörn,Soldier: 76,Lúcio
BluePillow-21338,Hanzo,Genji,Widowmaker,McCree,Tracer
Yoda-22377,Genji,Hanzo,Widowmaker,McCree,Ashe
Mood-21538,Widowmaker,Tracer,Hanzo,Ana,Zenyatta
TimeToShine-21533,Tracer,Widowmaker,Genji,McCree,Hanzo
Zugzug-1342,Widowmaker,Pharah,Zenyatta,Reinhardt,Ashe
Okay-11514,Genji,Widowmaker,Hanzo,Doomfist,Tracer
FireAlpha-2225,Pharah,Wrecking Ball,Junkrat,D.Va,Widowmaker
NateMaster-11517,Lúcio,Zarya,Orisa,Winston,Reinhardt
Cheloux-2153,Zarya,Winston,Ana,Reinhardt,Lúcio
Delta021-1534,Hanzo,Genji,McCree,Soldier: 76,Reaper
Nessi-11637,D.Va,Ana,Widowmaker,Mercy,Reinhardt
Varskull-2424,Sombra,Orisa,Ana,Zenyatta,Tracer
jackattack40-1398,Doomfist,Roadhog,Tracer,Genji,D.Va
Myth-12545,Doomfist,Symmetra,Soldier: 76,Ashe,Zenyatta
Legendary-14292,Widowmaker,Mercy,Mei,Symmetra,Pharah
Transversal-11549,McCree,Widowmaker,Reinhardt,Tracer,Hanzo
JCTheAllStar-1792,Genji,Junkrat,Reaper,Doomfist,Hanzo
WODwarrior-1746,Roadhog,Orisa,Mercy,Pharah,Junkrat
Deathbed-1368,Roadhog,Reaper,Soldier: 76,Bastion,Junkrat
Dudezo-1756,Moira,Hanzo,Soldier: 76,Roadhog,Tracer
PinkWeasel-21707,Orisa,D.Va,Mercy,Roadhog,Mei
BalloonCake-1933,Wrecking Ball,Doomfist,Moira,Tracer,D.Va
Wotton-11398,D.Va,Lúcio,Mercy,Roadhog,Winston
DocBGood-1806,Junkrat,Hanzo,Genji,Tracer,Mercy
Cyr-2925,Brigitte,Lúcio,Moira,Zarya,D.Va
chrome-12941,McCree,Ana,Sombra,Ashe,Bastion
Kosmos-11882,Lúcio,Hanzo,Baptiste,Moira,Ashe
Ciezan-1665,Reinhardt,Moira,Pharah,Winston,Roadhog
okkokk-1493,Ashe,Sigma,Junkrat,Reinhardt,Reaper
CLLOYD006-1672,Widowmaker,D.Va,Tracer,Roadhog,Mercy
Emixam-21653,Ana,Reinhardt,Zenyatta,Lúcio,Mei
TricklyTrash-1993,Widowmaker,Genji,Roadhog,Reaper,McCree
SORA-3954,Mei,Roadhog,Symmetra,Reinhardt,Hanzo
RAINBOW-31376,Hanzo,Genji,McCree,Widowmaker,Mei
Oskuxan-2477,Genji,Widowmaker,McCree,Reaper,Doomfist
Lymulis-1262,Pharah,Tracer,Lúcio,D.Va,Widowmaker
paladins-21183,Genji,Ana,Doomfist,Zarya,D.Va
Threshish-1867,Doomfist,Reinhardt,Widowmaker,Tracer,Hanzo
doodoonesbit-1512,Roadhog,Tracer,Genji,Mei,Reaper
milksgonebad-1890,Tracer,Soldier: 76,McCree,Doomfist,Reaper
Bajas-21522,Widowmaker,Hanzo,Reinhardt,Junkrat,Pharah
Zasc-2467,Widowmaker,Tracer,Zarya,Zenyatta,Soldier: 76
Glockoma-11768,D.Va,Doomfist,Orisa,McCree,Zarya
Ambientto-1436,Mercy,Ana,Moira,Reinhardt,Baptiste
Teabagged-11596,Hanzo,Doomfist,McCree,Genji,Roadhog
Talbotson-1651,Lúcio,Ana,Mei,Hanzo,Soldier: 76
sora-32523,Zarya,Reaper,McCree,Hanzo,Widowmaker
SukZ-2483,Reaper,McCree,Soldier: 76,Tracer,Junkrat
Spooky-12432,Hanzo,D.Va,Reaper,McCree,Roadhog
Spirit-12621,Mercy,D.Va,Pharah,Ana,Widowmaker
MemeDealer-11248,Genji,Hanzo,D.Va,Ana,Roadhog
CarlWheezer-11623,Winston,D.Va,Ashe,Torbjörn,Junkrat
wK0BRAw-21394,Sombra,Junkrat,Tracer,Roadhog,McCree
MilkMonsta-2693,Soldier: 76,Hanzo,Reaper,Roadhog,Tracer
scootypooty-21864,Genji,Widowmaker,Doomfist,Roadhog,Tracer
KingMaerko-2424,Baptiste,Brigitte,Ana,Winston,Lúcio
DapperRosè-1905,Wrecking Ball,Roadhog,Baptiste,Moira,Ana
Lizzy-21415,D.Va,McCree,Tracer,Mercy,Lúcio
LiLFearless-2135,Soldier: 76,McCree,Ana,Reaper,Roadhog
DrYaT-11365,McCree,Soldier: 76,Reaper,Ana,Mercy
Cation-21307,D.Va,Soldier: 76,Pharah,Junkrat,Roadhog
asperin321-21386,Widowmaker,Doomfist,Tracer,Reinhardt,Lúcio
The64BitWolf-2644,Mercy,Genji,Bastion,Reinhardt,Hanzo
water-3459,Tracer,McCree,Bastion,Junkrat,Mercy
Floofmister-1203,D.Va,McCree,Hanzo,Widowmaker,Soldier: 76
Aska-21320,D.Va,Mercy,Ashe,Widowmaker,Junkrat
Idoknow-1739,Genji,Widowmaker,Tracer,Hanzo,Lúcio
Senile-11839,Genji,Reinhardt,Junkrat,D.Va,Roadhog
Mirishikiari-2387,Mercy,Ana,Tracer,Symmetra,Soldier: 76
TEXXAAS-1623,McCree,Hanzo,Roadhog,Genji,Soldier: 76
Byakko-21809,Genji,Soldier: 76,Tracer,D.Va,Mei
shiva-2306,D.Va,Hanzo,Ashe,Soldier: 76,Moira
Furious-21734,Mercy,Pharah,Zarya,Doomfist,D.Va
brz-21414,Zenyatta,Genji,Widowmaker,Hanzo,Junkrat
Dashper-2649,Genji,Hanzo,McCree,Mei,Reaper
Black-13166,Soldier: 76,Pharah,Junkrat,Reaper,D.Va
発情-1874,Tracer,Widowmaker,McCree,Hanzo,Symmetra
SendNoodles-2546,Genji,Widowmaker,Hanzo,McCree,Reaper
mesrine06-3342,D.Va,Zenyatta,Lúcio,Ana,Ashe
Madshyre-2152,Tracer,Brigitte,Zarya,Ana,Roadhog
Wisonton-2949,Doomfist,D.Va,Soldier: 76,Ana,Lúcio
superduper-11495,Genji,Lúcio,McCree,Reaper,Ana
Nayte-1332,Roadhog,Reinhardt,Winston,Junkrat,Lúcio
BigBird69-11782,Genji,Widowmaker,McCree,Doomfist,Wrecking Ball
믹키복국-3682,Junkrat,Widowmaker,Symmetra,Pharah,Bastion
CelestialAri-1597,D.Va,Mercy,Moira,Lúcio,Orisa
OuSsLeKiKoU-2594,Hanzo,Junkrat,Widowmaker,Genji,Soldier: 76
Adde58-21341,Ana,Tracer,Genji,Winston,McCree
Wïnter-1474,Mercy,D.Va,Junkrat,Symmetra,Ana
EGG-2252,Mercy,Moira,Reinhardt,Ana,Lúcio
CodeRed-11747,D.Va,Ana,Zarya,Widowmaker,Moira
Comex78-2455,Genji,Tracer,Zarya,Ana,Soldier: 76
DAMN-31920,Ashe,McCree,Ana,Widowmaker,Hanzo
EyeHunt-2806,Widowmaker,Ana,Lúcio,Tracer,Zenyatta
UrmaGurd-2700,Zarya,Lúcio,D.Va,Reinhardt,Mercy
T3mp-11347,Roadhog,Genji,Winston,McCree,Reinhardt
ShadowStorm-1157861,Genji,Reinhardt,McCree,Ana,D.Va
JankoBahn-2788,Ashe,McCree,Hanzo,Winston,Reinhardt
ZeroTwo-21952,Widowmaker,Mei,McCree,Lúcio,Ana
Elodin-2289,Mercy,Ana,Pharah,Reaper,Lúcio
Celestia-11345,D.Va,Mercy,Widowmaker,Mei,Symmetra
Final-11180,Pharah,Junkrat,Soldier: 76,Mei,McCree
Wolvez-11900,Hanzo,McCree,Tracer,Soldier: 76,Roadhog
Duck-22365,Lúcio,Wrecking Ball,Zenyatta,Ana,Reinhardt
Had0u-2632,Ana,D.Va,Reinhardt,Orisa,Junkrat
mememeister-21825,Genji,Hanzo,McCree,Reaper,Soldier: 76
HappyPanda-11182,Soldier: 76,Symmetra,Bastion,Reinhardt,Tracer
TRACER-31344,Genji,Widowmaker,McCree,Tracer,Hanzo
TheLegend27-21459,Genji,McCree,Hanzo,Pharah,Soldier: 76
ThrowYatta-2929,Torbjörn,Zenyatta,Reinhardt,Winston,Reaper
DerpSkittles-1829,D.Va,Ana,Moira,Orisa,Zarya
MEI-32127,Doomfist,Genji,Widowmaker,Hanzo,Tracer
Lunchb0x-1462,Wrecking Ball,Orisa,Winston,Reinhardt,Zarya
Sandra-22412,Widowmaker,Mercy,D.Va,Pharah,Zarya
Darkness-25657,Genji,Hanzo,Ana,D.Va,Widowmaker
m3rcury-21233,Widowmaker,Mercy,Ana,Mei,Moira
Ryujehong-31413,McCree,Hanzo,Genji,Widowmaker,Tracer
DK745-1422,Mercy,Reinhardt,D.Va,Ashe,Sombra
Lustboy-11588,Widowmaker,Soldier: 76,D.Va,Sombra,Reaper
Neopolitan-21200,D.Va,Roadhog,Junkrat,Hanzo,Mercy
Assassin-32157,Tracer,Widowmaker,Sombra,Genji,Doomfist
Sparklegem-2388,Roadhog,Genji,Pharah,McCree,Lúcio
Failurebot-1568,Moira,Ashe,Doomfist,Zarya,Wrecking Ball
Selkcit-1116,Widowmaker,McCree,Mercy,Pharah,Symmetra
Undeadbanana-1110,D.Va,Pharah,Mei,Reinhardt,Hanzo
Addison-11956,McCree,Tracer,Hanzo,Mei,Genji
Hypnotic-11510,McCree,Lúcio,Sigma,Genji,Bastion
kalicki-1812,Orisa,D.Va,Reinhardt,Pharah,Wrecking Ball
Guts-21367,Ana,Hanzo,Tracer,Zenyatta,McCree
Kestrel-21340,Genji,Roadhog,McCree,Hanzo,Mei
Olexiy-1856,Ashe,Hanzo,Reinhardt,McCree,Pharah
Turin-1313,Soldier: 76,Ana,Zenyatta,Roadhog,Lúcio
MPRF12345-2372,Genji,Pharah,Reaper,McCree,Hanzo
MJHGenesis-1510,Ana,Junkrat,Lúcio,Orisa,Reinhardt
ChoiJunhong-1789,Pharah,Moira,Mei,D.Va,Reaper
BaitoBox-1187,McCree,Widowmaker,Hanzo,Genji,Junkrat
POPersia-2346,D.Va,Mercy,Bastion,Ashe,Soldier: 76
Luciana-11752,Lúcio,Ana,Mercy,Tracer,D.Va
Rod-1486,Junkrat,Soldier: 76,Tracer,Sombra,Orisa
jzono1-2984,Ashe,Wrecking Ball,Pharah,Mercy,Soldier: 76
Strix-11834,Tracer,Soldier: 76,Lúcio,D.Va,Widowmaker
Taiga-21310,Junkrat,Moira,Ashe,Ana,Symmetra
Eham-11702,Reaper,McCree,Hanzo,Sombra,Moira
MaxyKang-1149,Ana,Baptiste,Orisa,Moira,Junkrat
Zyama-2709,Reinhardt,Junkrat,D.Va,Winston,Symmetra
nagha-2254,Ana,Hanzo,Widowmaker,McCree,Lúcio
Percival-12478,Genji,Hanzo,McCree,Tracer,Reaper
facucu-2529,Lúcio,Ana,Roadhog,Mercy,Zenyatta
지존-32507,Roadhog,Soldier: 76,Doomfist,McCree,Ana
Alex-114802,Widowmaker,McCree,Tracer,Mercy,Soldier: 76
Splashx-2930,Moira,Soldier: 76,Zarya,Zenyatta,Symmetra
Deku-21602,Genji,McCree,Ana,Hanzo,Doomfist
BLADE-31468,McCree,Roadhog,Soldier: 76,Torbjörn,Reaper
Lettu-21638,Mercy,Junkrat,Roadhog,Reinhardt,Doomfist
JonTanti-2411,Zenyatta,D.Va,Ana,Roadhog,Junkrat
BittahPupil-11197,Zarya,Lúcio,Zenyatta,Soldier: 76,D.Va
Jelygoll-2884,McCree,Hanzo,Lúcio,Tracer,Zenyatta
Leviathan-13922,Tracer,Junkrat,Widowmaker,Reaper,Soldier: 76
Duellmite-1554,Widowmaker,Genji,Hanzo,Ana,McCree
painplusplus-1491,Roadhog,Wrecking Ball,Widowmaker,Reinhardt,Hanzo
Gorilla-11376,Roadhog,Moira,Soldier: 76,Winston,D.Va
rad1m-2478,Genji,McCree,Hanzo,Tracer,Widowmaker
Jwyn-11191,Tracer,Genji,Hanzo,Reinhardt,Widowmaker
NerfThis-11899,Genji,Tracer,McCree,Widowmaker,Soldier: 76
JjUuxX-1529,Winston,Ana,Reinhardt,D.Va,Lúcio
Bratwurst-21560,Junkrat,Doomfist,Soldier: 76,Reaper,D.Va
simosaurus-11401,Lúcio,Ana,Reinhardt,McCree,Baptiste
Cloud-16673,McCree,Widowmaker,Tracer,Zarya,Genji
MissWayne-21406,Mercy,Pharah,Mei,D.Va,Junkrat
Headstrong-1611,Ana,Hanzo,Roadhog,Zarya,Reinhardt
XyFy-21823,Genji,Junkrat,Doomfist,Lúcio,Roadhog
Tatemin-1201,Soldier: 76,Lúcio,Junkrat,Mei,Reaper
Mercy-16652,McCree,Genji,Torbjörn,Hanzo,Junkrat
SheydDead-2133,Reinhardt,Pharah,Hanzo,Widowmaker,D.Va
Raptor-24720,Bastion,D.Va,Pharah,Sombra,Reinhardt
K0NG-11647,Orisa,Zarya,Ana,Winston,Moira
Dinohappy-2432,Junkrat,Genji,Reaper,Reinhardt,Hanzo
Kecske-22536,Genji,Hanzo,Ana,McCree,Widowmaker
drippsy-2594,Genji,Hanzo,Reinhardt,Pharah,Junkrat
R013X-1933,Widowmaker,Hanzo,McCree,Genji,Roadhog
Zinnia-11575,Ana,D.Va,Junkrat,Moira,Roadhog
Nomik42-2562,Hanzo,Genji,Junkrat,McCree,Widowmaker
Thisguy-11808,Widowmaker,McCree,Soldier: 76,Tracer,Sigma
lick10-2396,Pharah,Soldier: 76,D.Va,Zenyatta,Mercy
Daunted-21301,Mercy,Reinhardt,D.Va,Moira,Reaper
HAGGAS-6678,Reaper,Moira,Mei,Widowmaker,Hanzo
SeeMonkeys-1170,Zenyatta,Hanzo,Roadhog,Mei,Widowmaker
W33SY-2187,Genji,Widowmaker,Lúcio,McCree,Tracer
Shaddy-2715,Ana,Zenyatta,Tracer,Mercy,Pharah
rmaaaz-1625,Hanzo,Widowmaker,McCree,Lúcio,Ana
Lacuna-21325,Widowmaker,Hanzo,McCree,Genji,Doomfist
lillylindah-1859,Bastion,Widowmaker,Mercy,Mei,Ana
tomerari-2783,Soldier: 76,Hanzo,McCree,Zenyatta,Pharah
SmugLilac-1694,Soldier: 76,Widowmaker,Tracer,Ana,McCree
Legend-3226,Genji,Hanzo,McCree,Soldier: 76,Pharah
Sty1z-2467,Pharah,Bastion,Soldier: 76,Widowmaker,Hanzo
JuicyMelons-21284,Baptiste,Orisa,Ana,Lúcio,Reinhardt
Lies-21395,Moira,Baptiste,Mercy,Zenyatta,Zarya
DizzyDwarf-214749,Bastion,Soldier: 76,D.Va,Moira,Pharah
unlocked-21304,Genji,Widowmaker,Tracer,McCree,Hanzo
Donate-11679,McCree,Hanzo,Junkrat,Zenyatta,Widowmaker
Magnus-23241,Hanzo,Widowmaker,Doomfist,McCree,Reaper
toughtguy-2248,Genji,Ana,Hanzo,Zarya,Junkrat
MEI-32129,Reaper,Widowmaker,Doomfist,McCree,Reinhardt
Foxtrot-12434,McCree,Widowmaker,Reinhardt,Genji,Roadhog
MERCYMAINBTW-2196,Ana,Tracer,Soldier: 76,McCree,Mercy
Exorcist-11589,Hanzo,McCree,Zenyatta,Lúcio,D.Va
Malfurion-22191,Hanzo,Doomfist,Symmetra,Torbjörn,Widowmaker
Rivero-2955,Pharah,Genji,Widowmaker,Hanzo,McCree
mrme09-1259,Reaper,Genji,Hanzo,McCree,Widowmaker
BattleMercy-2821,Soldier: 76,D.Va,Tracer,Mercy,Winston
Odexcily-1550,Reaper,Roadhog,Junkrat,Baptiste,Reinhardt
tehZevo-11946,Lúcio,Moira,Zarya,Mercy,D.Va
Hades-13609,Soldier: 76,Moira,Zarya,Reinhardt,Junkrat
Arcturis-1931,Reinhardt,Widowmaker,Winston,Junkrat,Roadhog
Thunder-14734,Brigitte,Reinhardt,Winston,Orisa,Wrecking Ball
LegendofJuli-1647,Reaper,Genji,Soldier: 76,Roadhog,Mei
Mahoostakai-2971,Mercy,D.Va,Ana,Symmetra,Sombra
Silverbane-11320,McCree,Genji,Roadhog,Lúcio,Hanzo
Myuex-11186,Ana,Widowmaker,Symmetra,Mei,Soldier: 76
비케이-31792,Reinhardt,Lúcio,Torbjörn,Genji,Zarya
Dirmethodes-1818,Lúcio,Reinhardt,Zenyatta,Soldier: 76,Wrecking Ball
EJaycool-1635,Widowmaker,McCree,Hanzo,Genji,Junkrat
EFFECT-31691,Genji,Doomfist,Widowmaker,Tracer,McCree
ali-26530,Genji,Hanzo,McCree,Doomfist,Ana
Miner7835-2924,Hanzo,Roadhog,Baptiste,Zenyatta,Soldier: 76
Black-24977,Junkrat,Bastion,Hanzo,Mercy,Soldier: 76
Fendi-2462,Mercy,Lúcio,Pharah,Winston,Symmetra
BoomPlayz-1156,Doomfist,Zenyatta,McCree,Genji,Lúcio
lucas-26568,McCree,Genji,Reaper,Hanzo,Doomfist
Phantos-11117,Orisa,Ana,Reinhardt,Zarya,Winston
trace-12558,Bastion,Soldier: 76,Orisa,Pharah,McCree
Bomboncito-1959,Mercy,Zenyatta,D.Va,Ana,Zarya
Goose-13750,Moira,Winston,Orisa,Junkrat,Bastion
Loukas420-2541,Zenyatta,Genji,Lúcio,Roadhog,Hanzo
EpicalHD-2996,Hanzo,Widowmaker,Reaper,Tracer,Mei
Dirty-11534,McCree,Genji,Hanzo,Soldier: 76,Roadhog
SirDisaster-21465,Junkrat,Mercy,Brigitte,Widowmaker,Reinhardt
AFlyingLlama-11896,Genji,Hanzo,Widowmaker,McCree,Doomfist
Doinks-11842,Doomfist,Widowmaker,McCree,Tracer,Soldier: 76
Barcode-31600,Genji,Doomfist,Widowmaker,Hanzo,McCree
Chillie-1120,Moira,Orisa,Junkrat,D.Va,Ashe
SADO-21380,Ana,Widowmaker,McCree,Reinhardt,Hanzo
ImDirtyDan-11161,Widowmaker,McCree,Ashe,Hanzo,Genji
Patlock-2438,Sombra,Roadhog,Zenyatta,D.Va,Ana
MrArTHuRuS-2585,Lúcio,Hanzo,Soldier: 76,Zenyatta,Torbjörn
CalebAvRe-1734,Doomfist,McCree,Ana,Ashe,Genji
Darkdevs-11590,Widowmaker,Tracer,Genji,Doomfist,Hanzo
Losik-21699,D.Va,Mercy,Zarya,Ashe,Widowmaker
Mattewkon-2968,Hanzo,Lúcio,Junkrat,Genji,Widowmaker
mcpancho45-1532,Hanzo,Doomfist,McCree,Tracer,Junkrat
Kenzo-22123,Genji,McCree,Widowmaker,Hanzo,Junkrat
B1ue-11666,Reinhardt,Baptiste,D.Va,Orisa,Sigma
Imjustapie-1234,Mercy,Lúcio,Ana,Zenyatta,Symmetra
Robo-11782,Genji,Wrecking Ball,Ana,McCree,Reinhardt
Wulfe-21261,Ana,Sigma,Orisa,Moira,Ashe
AuraSp1ke-1666,Genji,Widowmaker,Hanzo,McCree,Tracer
Fr33H0NGK0NG-2476,Reinhardt,Pharah,Ana,Mercy,D.Va
Alerion-2683,Ashe,Mei,Junkrat,Hanzo,Sigma
BlackCat-22372,Pharah,Reaper,Tracer,D.Va,Mercy
Jay-25184,Brigitte,Lúcio,Wrecking Ball,Ashe,Orisa
PoetFox-11612,Zarya,Ana,D.Va,Sombra,Orisa
TaFFo-2711,McCree,Genji,Soldier: 76,Doomfist,Tracer
GÜNTHER-11544,Zarya,Sigma,Orisa,Winston,Reinhardt
JellyBean-12665,Ana,Zenyatta,Moira,Mercy,D.Va
Westsoup-2408,Torbjörn,Mercy,Reinhardt,Soldier: 76,Roadhog
Kirito564-11911,Reaper,Hanzo,Roadhog,Widowmaker,Ashe
Strayhat627-2850,Reinhardt,Roadhog,Symmetra,Moira,Soldier: 76
fabitooco-1320,Widowmaker,Hanzo,Sombra,Tracer,Genji
freakonat-1776,Genji,Doomfist,Tracer,Widowmaker,Hanzo
TerraAntica-2374,Symmetra,Tracer,Ana,Brigitte,Sombra
Vanorus-21733,McCree,D.Va,Ana,Roadhog,Soldier: 76
Xastron-2598,Hanzo,Soldier: 76,Roadhog,Widowmaker,Ana
Barneyy-1614,Mercy,Roadhog,Pharah,Soldier: 76,Winston
Veroable-1403,Widowmaker,D.Va,Mercy,Zarya,Sigma
Cody-14187,Reinhardt,Winston,Genji,Widowmaker,Hanzo
Bridek-21870,McCree,Tracer,Reaper,Hanzo,Genji
Nick-27492,Genji,Widowmaker,Hanzo,Ashe,Tracer
Tsukki-11135,Junkrat,Genji,McCree,Doomfist,Reaper
Rickysaucey-2271,Roadhog,Sigma,D.Va,Orisa,Zarya
Sam-21632,McCree,Soldier: 76,Tracer,Ana,Widowmaker
alex-118505,Roadhog,Soldier: 76,McCree,Reaper,Tracer
MALMAL-1318,Ana,Baptiste,Zenyatta,Mercy,Tracer
Lol-21258,Lúcio,Hanzo,Junkrat,Reinhardt,Zenyatta
lerohi-2541,Genji,Hanzo,McCree,Soldier: 76,Junkrat
MrRandomness-1621,Junkrat,Roadhog,Hanzo,Reinhardt,Torbjörn
China-12123,Tracer,Widowmaker,D.Va,Sombra,Zarya
EBaunsworth-1207,Reaper,Zarya,Hanzo,D.Va,Soldier: 76
GranyTsunade-1974,Baptiste,Ana,Moira,Zenyatta,Symmetra
MIKA-31332,Genji,McCree,Hanzo,Tracer,Soldier: 76
TorbsTickler-1997,Hanzo,Widowmaker,McCree,Soldier: 76,Ana
ARelaxedFish-1671,Bastion,Roadhog,Reinhardt,Widowmaker,Wrecking Ball
neverLUCKY-11986,Genji,Soldier: 76,Ana,Tracer,McCree
ASHS-1640,McCree,Genji,Hanzo,Reaper,Junkrat
Fastmedic-1820,Pharah,Mercy,Soldier: 76,Reaper,Ana
LapinouBisou-2450,Junkrat,Roadhog,Soldier: 76,D.Va,Widowmaker
Ezaki-11234,Reinhardt,D.Va,Sombra,Widowmaker,McCree
SnowShow-1531,Genji,Widowmaker,Soldier: 76,Hanzo,Tracer
Phizz-21764,Ana,Widowmaker,Zenyatta,Pharah,D.Va
